drug_1_name,drug_2_name,weight
Boceprewir,Wemurafenib,2
Fenylopropanolamina,Formoterol,3
Ritonawir,Klopidogrel,0
Witamina C,Noetisteron,0
Ranolazine,Carfilzomib,1
Ritonawir,Fentanyl,1
Oksaprozyna,Dasatynib,2
Desipramina,Oksybatan sodu,3
Lewonorgestrel,Tolbutamid,4
Newirapine,Fosamprenawir,3
Amfetamina,Orcyprenalina,3
Indometacyna,Kwas cytrynowy,3
Haloperidol,Rasagilina,3
Ridogrel,Floctafenine,2
Clotrimazol,Pimozyd,2
Paroksetyna,Sunitinib,0
Tolterodina,Simeprewir,4
Rifapencja,Wortioksetyna,4
Secobarbital,Nitrendipina,2
Metoklopramid,Arypiprazol,1
Domperidon,Kobikistat,3
Doofetiled,Bumetanid,3
Dronedaron,Ibrrutynib,3
Celecoksib,Dalteparna,4
Cimetidyna,Doksepina,0
Pimecrolimus,Ifosfamid,1
Insulina Lispro,Norgestive,2
Doksylamine,Dronabinol,3
Orcyprenalina,Terbutalina,4
Benazepril,Molsidomine,4
Metylopredisolon,Boceprewir,2
Quetiapine,Wildagliplina,2
Trichlormetiazyd,Alogliptyn,1
Pucalopryd,Dienogest,2
Woriconazol,Nicardipine,2
Tramadol,Telaprewir,3
Pimozyd,Fosamprenawir,2
Flufenazyna,Umeclidnium,3
Ibesartan,Obinutuzumab,0
Lapatynib,Tesmilifen,0
Tacrolimus,Fosfofenytoina,0
Fentoina,Ketokonazol,0
Itrakonazol,Daclataswir,2
Desipramina,Rotigotina,1
Insulina Lispro,Albiglutyd,4
Benzquinamid,Wortioksetyna,3
Dronabinol,Tranilcypromina,2
Kwas clorazepowy,Siarczan magnezu,4
Tesmilifen,Riociguat,3
Ospemifen,Ceritnib,0
Promazina,Maprotilina,3
Levotyroksine,Chlorek magnezu,3
Hydrokortyzon,Insulina Aspart,2
Tacrolimus,Oksaprozyna,2
Pindolol,Diazoksyd,0
Meclizyna,Tapentadol,3
Betaksolol,Butabarbital,4
Gentamy,Amdinocillina,4
Nisoldypina,Mitotane,3
Dziurawiec,Hydroksyprogesteron,3
Topiramat,Lewcetirizine,3
Aminofilina,Bromazepam,1
Alfentanil,Trichlormetiazyd,2
Akarboza,Sparfloksacyna,3
Kwas mefenamowy,Perindopril,4
Aprepitant,Dabrafenib,1
Carfenazyna,Metamfetamina,3
Chlorstalidon,Sulpiryd,3
Felodipina,Lewodopa,1
Etanol,Pimozyd,4
Olanzapina,Okrutnik,4
Loksapine,Naratriptan,2
Repaglinid,MetotrimePrazine,2
Propranolol,Wemurafenib,4
Abciksimab,Drospirenon,3
Metaminództwo,Butabarbital,2
Fentoina,Kwas etanrynowy,1
Mekamyloamina,Sulfonokson,0
TenecttePlase,Dalteparna,1
Triflupromazyna,Dekstrometorphan,1
Bortezomib,Stiripentol,1
Mifepriston,Nifedipina,4
Metylopredisolon,Nicorandil,3
Candesartan CILEXETIL,Diazoksyd,2
Tranilcypromina,Eksenatyd,4
Acenokumarol,Ticagrelor,3
Tiklopidyna,Sulodeksyd,2
Tadalafil,Hydrochlorotiazyd,4
Fludrokortyzon,Saksagliptina,0
Flukonazol,Omeprazol,3
Imatynib,Tesmilifen,2
Prymidon,Buprenorfina,3
Itrakonazol,Sondegib,0
Anistreplaze,Apiksaban,3
Iloperidon,Oksybatan sodu,4
Fenobarbital,Rilpiwiryna,2
Paroksetyna,toina,3
Temsirolimus,Idelalisib,2
Chlorotiazid,Gliburyd,0
Mykofenolate mofetil,Azydocillina,3
Amikacja,Cefdinir,4
Fondaparinuks,Floctafenina,0
Metylofenidat,Haloperidol,2
Tranilcypromina,Dietylopropion,0
Cabazitaksel,Ceritnib,1
Warfaryna,Eteksylan dibagatranu,4
Flukonazol,Klopidogrel,0
Diltiazem,Prymidon,1
Digoksyna,Tolmetina,3
Tacrolimus,Afatynib,1
Droperidol,Cimetropium,2
Remoksypryda,Wilazodon,2
Hydromorphon,Isocarboksazid,0
Butorfanol,Azelastyna,4
Tamsulosina,Cinacalcet,1
Pizotifen,ACLIDIUM,4
Natalizumab,Tiotepa,2
Triamcynolon,Insulina detemir,2
Interferon alfacon-1,Zidovudine,1
Triamteren,Moksonidyna,1
Loksapine,MetotrimePrazine,3
Dyszyramid,Fosaprepitant,1
Pentobarbital,Candesartan CILEXETIL,0
Itrakonazol,Lacosamid,3
Trebrostinil,Eplerenon,1
Kalcytriol,Simeprewir,1
Paroksetyna,Feksofenadyna,2
Efawirenz,Fentanyl,1
Trympramina,Catinon,3
Ibritrumomab tiuksetan,Sulindak,4
Dekstroamphetamina,Molindon,2
Interferon alfacon-1,Metamizol,0
Fluperiksol,Wortioksetyna,2
Oksybutynina,Atazanawir,2
Nortriptylina,Sertindole,1
Framycetyn,Cefprozil,3
Rifapencja,Linagliptyna,4
Triamteren,Pentazokina,1
Amfetamina,Amitriptlina,2
Delavirdine,Wortioksetyna,4
Fenmetrazine,Arformoterol,0
Promazina,Selegilina,2
Perindopril,Meloksykam,1
Bretylium,Ceritnib,0
Etokozolamid,Oksycodon,0
Nelfinawir,Fosfofenytoina,0
Hydrokortyzon,Wildagliplina,1
Tioridazine,Difenhydramina,2
Paklitaksel,Tofacitynib,1
TROSPIUM,Itopryd,0
Mupirocyna,Kwas picosulfurowy,4
Mechloretamina,Roflumilast,1
Ketoprofen,Aliskiren,1
Bortezomib,Esomeprazol,4
Trandolapril,Obinutuzumab,2
Kwas tiaproofenowy,Deferasiroks,3
Gemtuzumab Ozogamycyna,Tofacitynib,2
Chlorochina,Bisoprolol,2
Simvastatyna,Siltuksimab,1
Glikidon,Insulina degludec,1
Apomorfina,Mifepriston,0
Walsartan,Heparyna,3
Klozapina,Arypiprazol,0
Fluoksetyna,Metyrozyna,2
Mitokantrola,Sipuleucel-T,3
ChlorphenMine,Olodaterol,2
Warfaryna,Dronedaron,0
Gliklazyd,Lopinawir,0
Rifapencja,Wilazodon,4
Indapamid,Colesevelam,0
Klarytromycyna,Temsirolimus,3
Tadalafil,Tipranawir,0
Norepinefryna,Arformoterol,2
Ritonawir,Salmeterol,3
Piroksicam,Kwas deoksycholowy,2
Bosentan,Chlorochina,1
Itrakonazol,Quetiapine,2
Bacofen,Stiripentol,1
Trichlormetiazyd,Solifenacyna,4
Talidomid,Lewcetirizine,4
Walsartan,Eprosartan,0
Tamoksyfen,Bupropion,1
Terbinafina,Nebivolol,0
Werapamil,Fosamprenawir,3
Nabilon,Etosumid,2
Cyklobenzapryna,Abirateron,3
Tenofowir Dispoksil,Fenoprofen,0
Citalopram,Domperidon,2
Amoksapina,Paroksetyna,4
Luliconazol,Eliglustat,1
Nelfinawir,Lacosamid,4
Ondansetron,Wortioksetyna,3
Eluksadlina,Butylskopolamina,4
Atomoksyna,Tipranawir,1
Fenoprofen,Kwas edetic,1
Prrazosina,Epinefryna,4
Tocilizumab,Bosutynib,4
Buspiron,Rifampicyna,0
Bosentan,Tasimelteon,1
Metolazon,OksCarbazepine,3
Esomeprazol,Nilotynib,4
Kofeina,Kwas salicylowy,4
Isocarboksazid,Eluksadlina,0
Reserpina,Moksonidyna,3
Fluwoksamina,Tasimelteon,0
Zonisamid,Kwas fusydowy,2
Doksorubicyna,Stiripentol,0
Kofeina,Iobenguan,4
Meperidyna,Zuclopentiksol,0
Octan wapnia,Nimodypina,2
Hydroksyzyna,Hydrokodon,1
Lenalidomid,Wedolizumab,4
Siarczan magnezu,Oksazepam,0
Merkaptopurina,Roflumilast,4
Fluoksetyna,Fosforan Tedizolidu,3
Desmopressina,Hydrokortyzon,4
Bacofen,Trympramina,0
Etokozolamid,Butorfanol,0
Nortriptylina,Siarczan magnezu,0
Konivaptan,Atazanawir,4
Dasatynib,Dabrafenib,2
Prymenid,Norfloksacyna,1
Mitotane,Felodipina,1
Midazolam,Ketokonazol,4
Deferasiroks,Ospemifen,1
Ropiniol,Flurazepam,3
Tymazepam,Metadon,1
Insulina Lispro,Bromocripteina,2
Dasatynib,Wodorowęglan sodu,4
Fentoina,Darunawir,2
Wincristyna,Karbamazepina,3
Flutamid,Chlina C 11,2
Nelfinawir,Winorelbine,2
Teofilina,Chlormezanon,3
Fentoina,Tasimelteon,4
Digoksyna,Jodek potasu,2
Flufenazyna,Rivastigmine,3
Escitalopram,Sulodeksyd,1
Fosfofenytoina,Prenyloaminę,4
Kanamycyna,Pivampicillina,3
Wincristyna,Stiripentol,3
Zolpidem,Kwas clorazepowy,0
Tocilizumab,Pomalidomid,3
Wenlafaksine,Flupirilen,1
Nortriptylina,Iobenguan,4
Alprazolam,Azelastyna,0
Flunizyna,Wodorotlenek magnezu,0
Entakapon,Paroksetyna,2
PHENPROUMON,Cangrelor,1
Panobinostat,Siltuksimab,3
Everolimus,Daclataswir,3
Meksiletyna,Ramelteon,1
Dutasteryd,Darunawir,1
DEXMEDETOMIDINE,Butobarbitalny,1
Pentobarbital,Metipranolol,2
Gliklazyd,Trójtlenek arsenu,2
Insulina Lispro,Brekspiprazol,3
Cyklosporyna,Pazopanib,3
Loratadyna,Itopryd,2
Isoflurofat,Ergoloid mesylan,3
Alogliptyna,Buserelina,4
Prometazyna,Lumactaftor,4
Citalopram,Terbutalina,1
Felodipina,Chlorek magnezu,0
Retplaze,Etylowy biscoummacetat,1
Prednizon,Hydrokodon,0
Fenindion,Estry etylowe Omega-3-kwasowe,3
Sorafenib,Kobikistat,2
Rytodryna,Aspiryna,1
Candesartan CILEXETIL,Pentonoksifylina,2
Dapson,Sulfametoksazol,3
Trastuzumab,Cisplatyn,0
Nisoldypina,Fentolamina,3
Kwas zoledroniczny,Gentamy,2
Lercanidypina,Tlenek magnezu,1
Sulfizoksazol,Nimodypina,1
Siarczan magnezu,Clonazepam,1
Mirtazapine,Brimondyna,2
Walsartan,Wardenafil,3
Tamoksyfen,Ospemifen,4
Metronidazol,Acenokumarol,1
Bacofen,Butorfanol,4
Topiramat,Zolpidem,3
Indometacyna,Framycetyn,3
Loksapine,Benzphetamina,4
Tranilcypromina,Empagliflozyna,3
Prymidon,Nadolol,1
Chlorpromazyna,Selegilina,4
Indinewir,Triazolam,4
Zafirukast,Ceritnib,2
Morfina,Nadolol,3
Fentoina,Karbamazepina,3
PHENPROUMON,Kwas tiaproofenowy,1
Sertralina,Kwas cytrynowy,3
Aspiryna,Insulina degludec,4
Nisoldypina,Boceprewir,3
Porfimer Sodium,CobiMetynib,4
Oksycodon,Fosforan Tedizolidu,3
Nisoldypina,Enzalutamid,2
Citalopram,Mefloquine,3
Chlorpromazyna,Desvenlafaksine,2
Brimondyna,Lurasidon,1
Werapamil,Tesmilifen,1
Tacrolimus,Gliburyd,0
Lorazepam,Ropiniol,2
Sulpiryd,Sertralina,4
Ritonawir,Insulina Ludzka,0
Rabeprazol,Eteksylan dibagatranu,4
Klozapina,Trazodon,1
Tymazepam,Perampanel,0
Lucynactant,Ceritnib,1
Tesmilifen,Eteksylan dibagatranu,1
Wincristyna,Deksametazon,1
Pioglitazon,Kwas salicylowy,4
Abciksimab,Tipranawir,3
Fludrokortyzon,Sparfloksacyna,2
Doksylamine,Podtlenek azotu,1
Metaraminol,Formoterol,0
Goserelina,Doofetiled,1
Hydromorphon,Brimondyna,1
Aldesleukina,Difluprednat,0
Kwas mefenamowy,Netilmycyna,1
Wilazodon,Kobikistat,3
Tramadol,Kultury,4
Ibesartan,Johimbina,0
Werapamil,Tizanidine,0
Haloperidol,Palbocyclib,2
Doksepina,Chlorprotiksen,0
Prymidon,Captopril,2
Itrakonazol,Rilpiwiryna,3
Klozapina,Acetoheksamid,4
Tobramycyna,Bumetanid,4
Beksaroten,Saksagliptina,1
Kabergolina,Lewonordefryna,1
Bosentan,Gemfibrozil,0
Tranilcypromina,Betahistyna,1
Phentermine,Morfina,3
Prymidon,Toldaptan,1
Tranilcypromina,Trifluperazine,1
Labetalol,Lewonordefryna,0
Butabarbital,Amrinon,2
Apomorfina,Ondansetron,1
Pentobarbital,Mannitol,1
Flukonazol,Nisoldypina,4
Chlorek potasu,Feksofenadyna,0
Doksylamine,Cyproheptadyna,2
Kwas edetic,Prasugrel,0
Demeklocyklina,Strontium Ranelat,0
Gliburyd,Diazoksyd,4
Nilotynib,Palbocyclib,3
Fenelzine,Isocarboksazid,4
Moklobemid,Dapoksetyna,0
Hydroksyzyna,Chlorek potasu,2
Metronidazol,Karbokisteine,1
Labetalol,Prymidon,1
Atenolol,Heptabarbital,1
Cyklosporyna,Witamina C,4
Toksyna botulinowa typu A,Arbekacyna,3
Furosemid,Alfentanil,4
Rifapencja,Iksabepilon,3
Iksabepilon,Ceritnib,1
Leuprolyd,Tolbutamid,4
Prymidon,Ponatynib,0
Dicoumarol,Gemfibrozil,4
Anistreplaze,Wortioksetyna,0
Adalimumab,Pimecrolimus,4
Dihydroergotamina,Remoksypryda,3
Meperidyna,Etanol,4
Cisapryd,Idelalisib,2
Doksylamine,Chlorek potasu,1
Itrakonazol,Ponatynib,2
Amisulpryd,Fosforan Tedizolidu,4
Fluwastatyna,Amiodaron,3
Prymidon,Kwas etanrynowy,1
Aminofilina,Doksofilina,1
Droperidol,Brekspiprazol,1
Silodozyna,Tocilizumab,4
Pramlintyd,Tiotropium,2
Ipratropium,Propanterine,4
Metadon,Pramipeksole,1
Zolpidem,Pimozyd,0
Tenofowir Dispoksil,Kwas mefenamowy,0
Chinidyna,Netupitant,4
Tranilcypromina,Quetiapine,0
Izometepen,Fosforan Tedizolidu,1
Nelfinawir,Flutamid,0
Wardenafil,Isosorbide Dinitrat,0
Chlormezanon,Quinagolid,3
Beksaroten,Tamoksyfen,0
Ziprazidon,Mifepriston,4
Ramelteon,Telaprewir,3
Nicardypina,Aprepitant,1
Kwas walproinowy,Mefloquine,1
Besylan atracurium,Chinidyna,2
Prymidon,Artemeter,4
Desogestrel,Batimastat,2
Mitotane,Estrone siarczan,1
Gliklazyd,Metreptyna,2
Lidokaina,Lewobunolol,4
Citalopram,Pentosan polisulfat,3
Desipramina,Propafenon,1
Cyklobenzapryna,Sertindole,4
Kwas tiaproofenowy,Etylowy biscoummacetat,4
Ergometrine,Stiripentol,0
Metoprolol,Nicardypina,3
Flokezydyna,Warfaryna,4
Pimecrolimus,Temsirolimus,1
Trimetoprim,Benazepril,4
Goserelina,Lopinawir,0
Chlorek potasu,MetotrimePrazine,4
Alprazolam,Siarczan magnezu,1
Morfina,Doksylamine,2
Nelfinawir,Cortycotropina,3
Efawirenz,Etrawiryna,3
Tadalafil,Captopril,3
Salbutamol,Mefenterminna,3
Oktreotyd,Guanfacyna,2
Bortezomib,Primaquine,3
Mirtazapine,Lamotrygina,4
Amyl azotyn,Kwas azotowy,4
Chlorotrianisen,Armodafinil,1
Ranitydyna,Itrakonazol,4
Fozynopril,Wodorowęglan sodu,1
Alprazolam,Aminofilina,1
Trazodon,Sertindole,1
Boceprewir,Palbocyclib,4
Alprazolam,Isoflurofat,3
Telitromycyna,Everolimus,0
Klarytromycyna,Brentuksimab Wedotina,4
Saquinawir,Sunitynib,2
Ibrrutynib,Stiripentol,3
Betaksolol,Nicorandil,4
Metformina,Fenelzine,4
Chlorozokon,Paroksetyna,0
Iloperidon,Paraldehyd,0
Ropiniol,Ciprofloksacyna,3
Ritonawir,Alfentanil,4
Trifluperazine,Catinon,3
Tiagabina,Dabrafenib,0
Zonisamid,Siltuksimab,4
Ramipryl,Wardenafil,1
Rifabutina,Ceritnib,0
Darunawir,Cabazitaksel,4
Tizanidine,Gemfibrozil,3
Chlordiazepoksyd,Eluksadlina,4
Pentonoksifylina,Hydrochlorotiazyd,3
Atorwastatyna,Deferasiroks,2
Olanzapina,Nabilon,2
Kodeina,Cinacalcet,4
Fosaprepitant,Naloksegol,2
Nimodypina,Fosamprenawir,4
Dicoumarol,Doksepina,1
Toksyna botulinowa typu B,Toksyna botulinowa typu A,3
Etyylestradiol,Etylowy biscoummacetat,0
Etodolak,Deferasiroks,2
Tamoksyfen,Tioridazine,2
Brimondyna,Tapentadol,2
Granisetron,Doksepina,3
Etanol,Amantadina,0
Diklofenak,Gentamy,4
Konivaptan,Pimozyd,3
Dziurawiec,Dronedaron,4
Indinewir,Estazolam,1
Aspiryna,Escitalopram,3
Infliksymab,Trastuzumab,2
Ketorolak,Fludrokortyzon,0
Trimetobenzamid,ACLIDIUM,0
Desogestrel,Sulodeksyd,4
Eltrombopag,Cytrynian magnezu,0
Wankomycyna,Floctafenina,2
Fondaparinuks,Edoksaban,2
Butorfanol,Paraldehyd,1
Lomustyna,Arypiprazol,3
Hydrokortyzon,Colesevelam,4
Nilotynib,Ivabradyna,0
Colistina,Neomycyna,4
Chlorek potasu,Cyklopentowany,2
Perindopril,Aspiryna,4
Indometacyna,Sparfloksacyna,1
Toksyna botulinowa typu A,Flufenazyna,1
Tacrine,Karbinoksamina,3
Galantamina,Acetofenazyna,4
Olanzapina,Rasagilina,4
Lewomilnacipran,Fosforan Tedizolidu,2
PROCYCIDINE,MetotrimePrazine,1
Hydrokodon,Eslicarbazepine octan,3
Flukonazol,Fezoterodina,2
Aldesleukina,Walsartan,0
Diltiazem,Flibanserina,3
Amitriptlina,Glipzyk,3
Pimecrolimus,Cabazitaksel,3
Mefloquine,Mitotane,2
Warfaryna,Oksacillina,3
Fluoksetyna,Chlorpromazyna,2
Haloperidol,Ketoprofen,2
Spektaklomycyna,Oksaprozyna,3
Bendroflumetiazyd,Saquinawir,2
Nitroprusid,Pentonoksifylina,2
Lorazepam,Azelastyna,1
Nadolol,Lewodopa,1
Indometacyna,Eplerenon,3
Saksagliptina,Insulina degludec,4
Klopidogrel,Nitrendipina,3
Tobramycyna,Kwas klawulanowy,1
Cyklosporyna,Butobarbitalny,2
Chlorpromazyna,Desipramina,0
Metylofenidat,Warfaryna,0
Pentosan polisulfat,Klopidogrel,3
Colistimetat,Kanamycyna,3
Orcyprenalina,Iobenguan,2
Telitromycyna,Naloksegol,2
Teofilina,Formoterol,2
Losartan,Kation litowy,3
Meksiletyna,Trifluperazine,2
Bupropion,Clomipramina,4
Droperidol,Oksymorphon,2
Klarytromycyna,Boceprewir,3
Brimondyna,toina,2
Simeprewir,Idelalisib,1
Etonogestrel,Lumactaftor,1
Doofetiled,Citalopram,0
Kwas fusydowy,Aksitynib,3
Konivaptan,Wilazodon,4
Arypiprazol,Ticagrelor,1
Bendroflumetiazyd,Deksketoprofen,2
Delavirdine,Etrawiryna,3
Tositumomab,Diflunisal,2
Norepinefryna,Fenylefryna,2
Ropiniol,Pipotiazyna,1
Warfaryna,Worinostat,0
Streptokinaza,Escitalopram,4
Ramelteon,Rifampicyna,3
Kwas risedronic,Ribostamycyna,1
Mefenterminna,Racepinefryna,0
Flukonazol,Erlotynib,2
Alfuzosina,Trandolapril,1
Kodeina,Spironolakton,0
Diltiazem,Moksonidyna,4
Tolcapon,Orphenadryna,2
Esmolol,Metroheksital,4
Chlorochina,Panobinostat,2
Bosentan,Kwas clorazepowy,4
Rituksimab,Roflumilast,1
Toksyna botulinowa typu B,Bromfeniramina,0
Sulfizoksazol,Warfaryna,3
Amoksapina,Iobenguan,4
Zafirukast,Warfaryna,2
Ziprazidon,Glikidon,0
Saquinawir,Apiksaban,3
Brimondyna,Nabilon,3
Torasemid,Framycetyn,2
Temsirolimus,Stiripentol,2
Konivaptan,Zonisamid,1
Gabapentyna,Minocyklina,2
Dobutamina,Aminofilina,1
Wenlafaksine,Benzquinamid,1
Dapson,Palbocyclib,2
Ritonawir,Trympramina,4
PROCYCIDINE,Cimetropium,4
Flukonazol,Telaprewir,2
Ropiniol,Felbamat,0
Mirtazapine,Klonidyna,1
Cisplatyn,Kwas etanrynowy,0
Rifabutina,Telitromycyna,1
Flurazepam,Saquinawir,4
Rosiglitazon,Deferasiroks,1
Fosfofenytoina,Bromazepam,0
Hydrokodon,Desloratadyna,2
Chlorpropamid,Darunawir,2
Chinapryl,Amifostyna,4
Progesteron,Pazopanib,0
Wardenafil,Penbutolol,4
Pramlintyd,Stanolon,2
Amikacja,Colistimetat,2
Metyrozyna,Flunizyna,4
Droperidol,Meclizyna,0
Alosetron,Idelalisib,1
Tadalafil,Fenoksybenzamina,4
Sulpiryd,Iloperidon,0
Diltiazem,Johimbina,3
Abciksimab,Glukozamina,3
Hydromorphon,Rufinamid,0
Itrakonazol,Solifenacyna,1
Doksylamine,Etosumid,1
Doksepina,Rufinamid,2
Dyporylina,Bromazepam,1
Flufenazyna,Paroksetyna,1
Ivacaft,Ceritnib,0
Amlodypina,Werapamil,2
Bevacizumab,Klozapina,4
Felbamat,Idelalisib,0
Ibrrutynib,Desirudina,4
Fentoina,Atazanawir,0
Nicardypina,Chlorek magnezu,0
Cyklosporyna,Mitokantrola,1
Acebutolol,Lewodopa,0
EPTIFIBATIDE,Kwasy tłuszczowe omega-3,0
Żelazny dekstran,Ofloksacyna,1
Rifaksimina,Abirateron,4
Pegvisomant,Fentanyl,2
Rifabutina,Brekspiprazol,2
Oksycodon,Butorfanol,0
CobiMetynib,Tocilizumab,0
Fludarabine,Roflumilast,3
Tormifen,Woriconazol,1
Dronedaron,Netupitant,1
PROCYCIDINE,Amoksapina,2
Kwas cytrynowy,Nintedanib,3
Trebrostinil,Enalaprilat,4
Noetisteron,Flibanserina,3
Metadon,Aprepitant,0
Irinotecan,Pazopanib,2
Beksaroten,Lurasidon,0
Paroksetyna,Tiotiksen,0
Zolpidem,Oksymorphon,3
Metoprolol,Regorafenib,2
Citalopram,Mezorydazyna,1
Imatynib,Itrakonazol,4
Porfimer Sodium,Tretinoina,1
Lercanidypina,Fenobarbital,3
Dantrolen,Dasatynib,4
Nelfinawir,Benzphetamina,1
Nelfinawir,Tasimelteon,2
Imatynib,Rifapencja,4
Trebrostinil,Dalteparna,2
Streptokinaza,Fluoksetyna,1
Propionion flutykazonu,Cimetropium,4
Clobazam,Tioridazine,1
Kwas pamidroniczny,Meloksykam,1
Trebrostinil,Propranolol,3
Bosentan,Tofacitynib,1
Bosentan,Trympramina,1
Minocyklina,Atazanawir,1
Fentoina,Solifenacyna,2
Simvastatyna,Eltrombopag,3
Paricalcytol,Kobikistat,0
Pramipeksole,Lamotrygina,4
Sunitynib,Roflumilast,2
Citalopram,Maprotilina,4
Olanzapina,Gliklazyd,2
Norfloksacyna,Kwas picosulfurowy,1
Butabarbital,Doksylamine,3
Galantamina,Tofacitynib,1
Pegvisomant,Albiglutyd,4
Torasemid,Heksobarbital,2
Prrazosina,Nebivolol,2
Tramadol,Fentanyl,3
Arypiprazol,Stiripentol,4
Sufentanil,Bretylium,2
Cisapryd,Isoflurofat,3
Nelfinawir,Chlorochina,4
Secobarbital,Trympramina,2
Metylofenidat,Prrazosina,4
Procainamid,Amiodaron,2
Prochlorperazina,Prometazyna,3
Tipranawir,Bepridil,2
Esmolol,DEXMEDETOMIDINE,1
Mifepriston,Tofacitynib,1
Goserelina,Paroksetyna,0
Ibritrumomab tiuksetan,Dalteparna,1
Amitriptlina,Kwas mefenamowy,4
Atomoksyna,Phendimetrazine,1
Efawirenz,Warfaryna,1
Spektaklomycyna,Kwas tiludroniczny,0
Fosfofenytoina,Lurasidon,2
Topiramat,Loratadyna,2
Butalbitalny,Terbutalina,2
Pravastatyna,Itrakonazol,1
Diacetat etynodiolu,Canagliflozyna,4
Cevimlina,Tacrine,2
Lorazepam,Ziconotyd,1
Toksyna botulinowa typu B,Amitriptlina,2
Kwas clorazepowy,Etanol,3
Metoklopramid,Isocarboksazid,3
Prednizolon,Repaglinid,1
Bretylium,Nadolol,1
Nisoldypina,Rifabutina,2
Nelfinawir,Mitotane,3
Aprepitant,Fentanyl,1
Reserpina,Desvenlafaksine,1
Triamcynolon,Insulina Ludzka,4
Sumatriptan,Pimozyd,4
Tranilcypromina,Almotriptan,0
Meloksykam,Ceritnib,2
Erytromycyna,Wardenafil,3
Orphenadryna,Gabapentin EnaCarbil,2
Karbamazepina,Etrawiryna,4
Doofetiled,Triamteren,0
Fenmetrazine,Racepinefryna,1
Kwas etanrynowy,Aspiryna,4
Droperidol,Metaksalon,3
Flufenazyna,Prometazyna,1
TenecttePlase,Paroksetyna,1
Posakonazol,Rilpiwiryna,0
Tacrine,Mepenzolat,2
Kofeina,Metoksamina,2
Olanzapina,Catinon,1
Brimondyna,Guanfacyna,0
Trifluperazine,Deferasiroks,4
Amitriptlina,Salmeterol,3
Tositumomab,Lewomilnacipran,2
Oksycodon,Tranilcypromina,1
Trebrostinil,Aspiryna,3
Mefenterminna,Feniramina,3
Dantrolen,Bepridil,3
Metsusimid,Rotigotina,2
Aksitynib,Fosaprepitant,3
Dyporylina,Formoterol,1
Hydromorphon,Rotigotina,1
Atazanawir,Siltuksimab,3
Leuprolyd,Pentamidyna,0
Imatynib,Kobikistat,1
Lorazepam,Chlorpromazyna,4
Fluwoksamina,Alprazolam,4
Ziprazidon,Selegilina,2
Kofeina,Talniflumat,3
Metotreksat,Nafcillina,3
Desmopressina,Diflunisal,0
Kalcytriol,Dabrafenib,1
Metoksamina,Dekstroamphetamina,4
Dutasteryd,Boceprewir,0
Dimenhydrunat,Mirabegron,0
Imipramina,Acetofenazyna,1
Natalizumab,Streptozocyna,0
Linezolid,Salmeterol,2
Wardenafil,Ceritnib,1
Rocuronium,Streptomycyna,2
Deksametazon,Fosamprenawir,2
Pimozyd,Itrakonazol,1
Midodryna,Aminofilina,2
